SiteID,Date,Ammonia-nitrogen,Chemical oxygen demand,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Kjeldahl nitrogen,Phosphorus,Total suspended solids,Turbidity,"Biochemical oxygen demand, standard conditions",Soluble Reactive Phosphorus (SRP),Fecal Coliform,Organic carbon
21GAEPD_WQX-LK_14_4509,1992-05-11,0.37,35,0.34,0.68,0.01,16,3.3,NA,NA,NA,NA
21GAEPD_WQX-LK_14_4509,1992-05-27,0.33,107,0.11,11.58,0.01,18,2.6,1.6,NA,NA,NA
21GAEPD_WQX-LK_14_4509,1992-06-08,0.13,41,0.1,1.7,0.03,28,NA,1.3,NA,NA,NA
21GAEPD_WQX-LK_14_4509,1992-06-30,0.16,22,0.03,1.87,0.03,20,3.5,1.3,0.02,NA,NA
21GAEPD_WQX-LK_14_4509,1993-01-27,NA,18.5,0.39,NA,0.02,7,NA,1.7,0.02,NA,NA
21GAEPD_WQX-LK_14_4509,1993-02-22,NA,4.5,0.28,NA,0.02,47,12.6,0.8,0.01,NA,NA
21GAEPD_WQX-LK_14_4509,1993-03-22,NA,7.5,0.22,0.41,0.01,42,10.8,1.3,NA,NA,NA
21GAEPD_WQX-LK_14_4509,1993-04-13,0.35,8.5,0.28,1.5,0.03,17,7.4,NA,NA,NA,NA
21GAEPD_WQX-LK_14_4509,1993-04-29,0.13,12,0.29,10.1,NA,9,5.9,1.5,NA,NA,NA
21GAEPD_WQX-LK_14_4509,1993-05-11,0.04,NA,0.22,0.1,0.06,2,3,1.2,NA,92,1.6
21GAEPD_WQX-LK_14_4509,1993-05-25,NA,NA,0.17,0.3,0.05,3,2,1.2,7.7,250,1.3
21GAEPD_WQX-LK_14_4509,1993-06-08,NA,NA,0.12,0.2,0.05,2,3,1,NA,14,1.5
21GAEPD_WQX-LK_14_4509,1993-06-29,NA,NA,NA,0.2,0.06,2,1.8,1.1,NA,25,2.3
21GAEPD_WQX-LK_14_4509,1993-07-06,NA,NA,0.04,0.3,0.04,2,3,1.1,NA,39,1.9
21GAEPD_WQX-LK_14_4509,1993-07-28,NA,NA,NA,0.3,0.06,3,2,1.3,NA,105,1.4
21GAEPD_WQX-LK_14_4509,1993-08-10,NA,NA,NA,0.28,NA,NA,NA,NA,NA,22,3.7
21GAEPD_WQX-LK_14_4509,1993-08-24,NA,NA,0.02,0.56,NA,21,1.5,NA,NA,70,1.7
21GAEPD_WQX-LK_14_4509,1993-09-01,NA,NA,NA,NA,NA,NA,1.4,NA,NA,650,2.1
21GAEPD_WQX-LK_14_4509,1993-09-23,NA,NA,NA,0.7,NA,NA,1.7,1.3,NA,165,2.2
21GAEPD_WQX-LK_14_4509,1993-10-07,NA,NA,0.04,NA,NA,NA,NA,1.3,NA,NA,2.2
21GAEPD_WQX-LK_14_4509,1993-10-21,0.05,NA,0.03,NA,NA,NA,1.2,0.5,NA,1090,2.1
